trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-164.67579423722188,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",30,0,-204.41355799049842,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-196.48122396056095,"{0: 6, 1: 2, 2: 9, 3: 1, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",35,0,-164.63133593519632,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",30,0,-241.55619225498603,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,0,-156.29223779589933,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-109.80874879138042,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",25,0,-173.60720229509863,"{0: 9, 1: 6, 2: 7, 3: 2, 4: 1}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-157.88938207187712,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-219.82822999005853,"{0: 8, 1: 2, 2: 11, 3: 3, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-116.43374367014148,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-191.5136666206899,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,0,-180.9978122182064,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",30,0,-104.8895124210369,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",30,0,-215.6505790072226,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-207.36495033711316,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",35,0,-329.9904279154068,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 6}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-166.84004059313625,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",30,0,-135.1654232064861,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",20,0,-71.19383526607714,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",20,0,-187.72019633810478,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-184.97926349910975,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,0,-184.8150948685805,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",30,0,-192.57069463702234,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",30,0,-264.63791032809024,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 5}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",20,0,-141.73174935158505,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",20,0,-106.04326457011669,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",25,0,-157.34073490504574,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-48.03809640349097,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",25,0,-137.24165173943942,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",20,0,-139.640457652587,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",20,0,-76.06986053563038,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",20,0,-214.07589214665146,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,0,-107.6378928723305,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",30,0,-125.52160395433944,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",25,0,-130.8478587903822,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-217.0434742594447,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",25,0,-189.7578839364667,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-87.37741558036149,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",25,0,-159.70886222546682,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.922193691444608}",20,0,-80.373870868332,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",35,0,-274.24154254962343,"{0: 17, 1: 1, 2: 11, 3: 3, 4: 3}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",20,0,-154.14328646400116,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",20,0,-144.35172326657238,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",20,0,-109.40033964970138,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",25,0,-289.78562482268984,"{0: 8, 1: 3, 2: 8, 3: 2, 4: 4}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",30,0,-197.86255917971715,"{0: 11, 1: 10, 2: 6, 3: 1, 4: 2}",0
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",25,0,-246.35780578923251,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",20,0,-144.29350627062303,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",30,0,-195.8794043777194,"{0: 14, 1: 3, 2: 8, 3: 4, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",30,0,-212.57029076936675,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",20,0,-104.85359032523016,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",25,0,-201.23254811713036,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",30,4,-181.8690819740476,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 2}",1
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",30,0,-291.29635000431625,"{0: 13, 1: 4, 2: 6, 3: 3, 4: 4}",0
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",20,0,-97.44275362019896,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",30,0,-228.82751841599142,"{0: 10, 1: 6, 2: 11, 3: 1, 4: 2}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",25,0,-125.30182267178515,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",30,0,-280.3875894033364,"{0: 10, 1: 4, 2: 11, 3: 2, 4: 3}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",20,0,-132.4893439059054,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",25,0,-129.20665920869735,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",20,0,-63.44849957094943,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
